Geography,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Regina, Saskatchewan [47705]",16887.39,16990.8,16740.43,18301.97,16249.37,16891.86,16601.58,15170.89,14261.82,13637.43,13159.08,11982.8,11318.79,10951.45,10181.63,9274.9,8871.32,9210.87,10258.98,9508.73
"Saskatoon, Saskatchewan [47725]",12667.73,12533.58,13675.77,13769.48,13797.56,15887.96,14320.71,13864.38,12710.48,12741.17,11740.82,11083.55,10308.28,10254.09,9281.34,8732.32,8967.81,9135.81,9651.55,9330.82
"Calgary, Alberta [48825]",8370.86,8056.59,7558.13,7530.52,7448.99,7589.7,7343.44,7063.36,7044.11,6559.61,6155.61,5821.51,5475.48,5085.17,4790.26,4681.29,4599.37,5663.47,5790.21,5888.75
"Edmonton, Alberta [48835]",9348.63,8902.69,8916.55,9553.72,9890.28,10841.75,11032.14,10884.01,10342.47,10044.94,9773.83,9497.13,8615.53,7627.9,7428.44,7476.73,7513.34,8352.57,8845.49,9263.46
"Kelowna, British Columbia [59915] 9 28",..,..,..,..,..,..,..,..,12578.32,12311.13,12039.8,11687.36,10775.24,9884.46,10298.39,9086.38,9073.6,9597.65,9742.71,9354.03
"Abbotsford-Mission, British Columbia [59932] 9 28",..,..,..,12510.45,13519.91,13321.3,13666.01,12627.71,11509.7,11309.85,10712.32,8813.67,8518.63,7698.01,7140.75,6913.06,7146.66,8028.52,7493.18,7272.06
"Vancouver, British Columbia [59933] 28 29 30 31 32 33",12824.16,12267.82,11818,12031.17,11664.86,12365.32,12450.33,11686.2,11041.1,10356.53,9674.14,9092.08,8611.13,8225.96,7996.81,7707.64,8144.97,8126.78,8054.96,7651.14
"Victoria, British Columbia [59935] 28 34",12630.92,12885.12,11445.53,11124.53,10964.72,11248.93,10800.75,10602.39,10881.46,10068.2,9551.18,9229.1,8867.3,7591.59,7067.77,6172.62,6309.96,6770.2,6289.85,6105.14
Yukon [60],20727.63,22260.13,26182.57,27162.09,29382.7,28566.35,25145.36,23981.32,21499.18,22990.45,24223.28,25361.67,23069.14,22543.92,22716.18,26150.2,26430.72,26072.03,23827.65,22865.91
Northwest Territories [61] 35,25115.34,26863.29,30398.28,32868.96,35360.61,40370.29,45052.08,46473.42,43719.02,46691.57,48357.55,46288.44,51585.1,52299.95,51307.52,48550.48,46677.46,47254.26,43351.19,44523.81
Nunavut [62] 35,..,19413.17,22381.82,27180.64,31121.83,36736.02,38544.25,36599.84,33039.08,31849.02,36905.81,39355.83,41024.8,39443.21,40565.3,34650.14,32628.16,34369.54,35739.84,36485.42
